Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device.Bridging.Bridge.1.Port.5.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.2.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"ra1",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.6.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.3.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"rai0",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.6.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.7.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.4.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"rai1",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.7.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.8.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.5.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"ra2",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.8.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.9,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.9.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.9.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.9.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.9.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.6.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.9.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.9.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"",xsd:string,2026-03-05T02:55:26.067Z,,,,
